ticker,snapshot_date,kurs_zamkniecia,zmiana_procentowa,zmiana_kwotowa,source
BAC,2026-04-14,2.7847,-3.68,-0.1064,
BAC,2026-04-15,2.804,0.69,0.0193,
BAC,2026-04-16,2.7073,-3.45,-0.0967,
BAC,2026-04-17,2.659,-1.79,-0.0483,
BAC,2026-04-20,2.7557,3.64,0.0967,
BAC,2026-04-21,2.775,0.7,0.0193,
BAC,2026-04-22,2.6784,-3.48,-0.0967,
BAC,2026-04-23,2.7073,1.08,0.029,
BAC,2026-04-24,2.9007,7.14,0.1934,
BAC,2026-04-27,2.9201,0.67,0.0193,
BAC,2026-04-28,2.9878,2.32,0.0677,
BAC,2026-04-29,2.9201,-2.27,-0.0677,
BAC,2026-04-30,2.9104,-0.33,-0.0097,
BAC,2026-05-04,3.0168,3.65,0.1064,
BAC,2026-05-05,3.1425,4.17,0.1257,
BAC,2026-05-06,3.3165,5.54,0.1741,
BAC,2026-05-07,3.1908,-3.79,-0.1257,
BAC,2026-05-08,3.2488,1.82,0.058,
BAC,2026-05-11,3.3068,1.79,0.058,
